                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.93915,                  3.558,                 1.3052,                0.00425,                0.81818,                0.41316,                0.32946,                0.79371,                  3.671,                 1.3192,                0.00025,                0.00025,                0.00025
                      2,                0.95002,                 2.6995,                 1.2783,                0.87765,                0.09375,                0.25421,                0.15991,                 1.1038,                 3.3436,                 1.6548,             0.00046176,             0.00046176,             0.00046176
                      3,                 0.9053,                 2.4224,                 1.2377,                0.60499,                0.14111,                0.28605,                0.19008,                 1.0088,                 3.4188,                 1.4778,             0.00062155,             0.00062155,             0.00062155
                      4,                0.92711,                 2.3703,                 1.2761,                 0.3942,                0.61553,                0.53636,                0.38911,                 1.1915,                   3.08,                 1.6435,             0.00072936,             0.00072936,             0.00072936
                      5,                0.89487,                  2.111,                 1.2126,                0.53558,                0.58428,                0.54971,                0.39932,                  1.123,                 3.0309,                 1.6279,               0.000755,               0.000755,               0.000755
                      6,                0.87105,                 2.0157,                 1.2248,                0.94518,                0.33463,                0.49545,                0.42115,                 1.0821,                 2.9531,                 1.5332,             0.00063125,             0.00063125,             0.00063125
                      7,                0.83743,                 1.8462,                 1.1519,                0.31882,                0.61461,                0.63904,                0.50533,                0.95582,                 2.6149,                 1.4923,              0.0005075,              0.0005075,              0.0005075
                      8,                0.77192,                 1.7144,                 1.1457,                0.80867,                0.45349,                0.69373,                0.54185,                0.90568,                 2.2683,                 1.4598,             0.00038375,             0.00038375,             0.00038375
                      9,                0.77292,                 1.7073,                 1.1482,                0.46159,                0.77178,                0.60305,                0.46186,                0.93992,                 2.2146,                 1.4665,                0.00026,                0.00026,                0.00026
                     10,                0.76302,                 1.5985,                 1.0898,                0.52653,                0.78279,                0.74543,                0.58797,                0.96509,                 2.2721,                 1.4674,             0.00013625,             0.00013625,             0.00013625
