                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.90184,                   3.33,                 1.1708,                0.00487,                0.86364,                0.46936,                0.41746,                0.66094,                 3.6304,                 1.1807,               0.000125,               0.000125,               0.000125
                      2,                0.83785,                 2.5779,                  1.143,                 0.0069,                0.95455,                0.36565,                0.22647,                 0.8078,                 3.3132,                 1.2027,              0.0002573,              0.0002573,              0.0002573
                      3,                0.79456,                 1.9916,                  1.112,                0.52611,                0.17718,                0.38304,                0.23283,                0.82167,                 3.2695,                 1.2693,             0.00038416,             0.00038416,             0.00038416
                      4,                0.81304,                 1.7004,                 1.1077,                0.71013,                0.28394,                 0.4358,                0.31888,                 1.1309,                  3.131,                 1.6354,             0.00050557,             0.00050557,             0.00050557
                      5,                0.80841,                 1.5269,                 1.1041,                0.34239,                0.45712,                0.37326,                0.20093,                 1.4603,                 3.6031,                 2.0035,             0.00062154,             0.00062154,             0.00062154
                      6,                0.83734,                 1.4626,                  1.122,                0.87652,                0.48958,                0.58057,                 0.3946,                 1.5425,                 3.3556,                 2.1359,             0.00073206,             0.00073206,             0.00073206
                      7,                0.80864,                  1.352,                 1.1044,                0.62059,                0.43448,                0.43028,                0.29371,                 1.5129,                 3.2427,                 2.0699,             0.00083714,             0.00083714,             0.00083714
                      8,                0.84205,                 1.2951,                 1.1033,                0.69627,                0.51432,                0.48869,                0.31261,                 1.2954,                 3.0312,                 1.8224,             0.00093677,             0.00093677,             0.00093677
                      9,                0.80112,                 1.3142,                 1.0756,                0.41596,                0.58817,                0.61785,                0.44595,                 1.3175,                 2.9009,                 1.8229,               0.001031,               0.001031,               0.001031
                     10,                0.85759,                 1.3649,                 1.1127,                0.39694,                 0.6214,                0.60439,                0.44607,                 1.2596,                 2.6437,                 1.7801,              0.0010273,              0.0010273,              0.0010273
                     11,                0.86111,                 1.3897,                 1.1314,                0.65657,                0.49328,                0.55204,                0.41945,                 1.3389,                 2.7638,                  1.865,              0.0010025,              0.0010025,              0.0010025
                     12,                0.82797,                 1.2719,                 1.1095,                 0.3871,                0.55587,                0.53209,                0.37353,                 1.3078,                 2.7844,                 1.7882,             0.00097775,             0.00097775,             0.00097775
                     13,                 0.8064,                 1.2463,                 1.0892,                 0.3264,                0.60673,                0.38352,                0.26862,                 1.2059,                 2.6585,                 1.8204,               0.000953,               0.000953,               0.000953
                     14,                0.82458,                 1.1717,                 1.0861,                 0.5168,                0.39394,                0.34046,                0.22138,                 1.3718,                 2.8059,                 1.9264,             0.00092825,             0.00092825,             0.00092825
                     15,                0.86443,                 1.2139,                 1.1287,                0.63639,                0.28277,                0.31372,                0.19179,                 1.4353,                 2.8957,                 2.1463,              0.0009035,              0.0009035,              0.0009035
                     16,                 0.7958,                 1.1052,                 1.0512,                 0.3749,                 0.3275,                0.24655,                0.14282,                 1.4283,                 2.9567,                 2.0841,             0.00087875,             0.00087875,             0.00087875
                     17,                0.78925,                  1.045,                 1.0544,                0.19834,                0.40925,                0.30226,                0.16418,                 1.4365,                 3.1471,                 2.0577,               0.000854,               0.000854,               0.000854
                     18,                0.78232,                 1.0768,                 1.0713,                0.26516,                0.74811,                0.39911,                0.24205,                 1.2304,                 2.6888,                 1.6021,             0.00082925,             0.00082925,             0.00082925
                     19,                0.77016,                 1.0853,                 1.0512,                0.39872,                0.57913,                0.40264,                0.26372,                 1.3289,                   2.52,                 1.8469,              0.0008045,              0.0008045,              0.0008045
                     20,                0.72924,                0.98722,                 1.0336,                0.58696,                0.63531,                0.65862,                0.50346,                 1.1942,                 2.3106,                 1.6548,             0.00077975,             0.00077975,             0.00077975
                     21,                0.68536,                0.96683,                 1.0129,                0.46385,                0.71516,                0.65498,                0.50725,                 1.1874,                  2.116,                 1.7168,               0.000755,               0.000755,               0.000755
                     22,                0.70065,                0.91323,                  1.004,                0.44308,                0.62689,                0.45484,                0.33385,                 1.2157,                 2.3042,                 1.7315,             0.00073025,             0.00073025,             0.00073025
                     23,                0.72071,                0.94264,                 1.0135,                0.27402,                0.47324,                 0.3764,                0.29448,                 1.0943,                 2.3356,                  1.606,              0.0007055,              0.0007055,              0.0007055
                     24,                0.71196,                 0.9293,                 1.0324,                0.41809,                0.71843,                0.58364,                0.40472,                 1.1238,                 2.3347,                 1.6825,             0.00068075,             0.00068075,             0.00068075
                     25,                  0.724,                0.96541,                  1.056,                0.37615,                0.77584,                0.55091,                0.39222,                 1.1358,                 2.0052,                 1.6659,               0.000656,               0.000656,               0.000656
